cve_ent,cve_mun,nom_mun,viv_tot,viv_rem,viv_emig,viv_circ,viv_ret,iim_dp2,gim_dp2,pos_nal
31,31052,Motul,10617,2.392389564,0.27314684,0.160196,0.80060281,64.62674,Muy bajo,1775.0
31,31053,Muna,3475,10.64748201,0.89208633,0.34582133,1.64028777,63.09185,Medio,882.0
31,31054,Muxupip,866,2.424942263,0.11547344,0.0,0.69284065,64.89095,Muy bajo,2023.0
31,31055,Opichén,1917,0.731070496,0.0,0.0,0.10432968,65.26911,Muy bajo,2402.0
31,31056,Oxkutzcab,8654,13.58909175,3.54749249,0.3008911,1.62930437,62.35524,Medio,651.0
31,31057,Panabá,2188,0.457038391,0.0,0.0,0.0,65.32958,Muy bajo,2445.0
31,31058,Peto,6490,7.950693374,0.73959938,0.06163328,0.40061633,64.14629,Bajo,1415.0
31,31059,Progreso,18564,1.603238866,0.15082956,0.07545136,0.3781331,64.96738,Muy bajo,2110.0
31,31060,Quintana Roo,304,1.315789474,0.0,0.330033,0.0,64.7964,Muy bajo,1926.0
31,31061,Río Lagartos,1106,0.543478261,0.0,0.18083183,0.0,65.08167,Muy bajo,2218.0
31,31062,Sacalum,1373,0.946831755,0.21849964,0.0,0.14566642,65.19495,Muy bajo,2330.0
31,31063,Samahil,1407,0.284292822,0.0,0.0,0.0,65.34947,Muy bajo,2452.0
31,31064,Sanahcat,485,0.41322314,0.20618557,0.0,0.0,65.29891,Muy bajo,2422.0
31,31065,San Felipe,632,0.316455696,0.0,0.15847861,0.15822785,65.09339,Muy bajo,2230.0
31,31066,Santa Elena,1124,9.608540925,2.13523132,0.0,0.6227758,63.73314,Bajo,1158.0
31,31067,Seyé,2666,0.375093773,0.0,0.0,0.15003751,65.29744,Muy bajo,2421.0
31,31068,Sinanché,993,1.10775428,0.10070493,0.0,0.10070493,65.20928,Muy bajo,2348.0
31,31069,Sotuta,2514,1.711783439,0.15910899,0.0,0.23866348,65.09137,Muy bajo,2229.0
31,31070,Sucilá,1177,1.274426508,0.08496177,0.0,0.08496177,65.19718,Muy bajo,2332.0
31,31071,Sudzal,581,1.549053356,0.0,0.0,0.0,65.2038,Muy bajo,2341.0
31,31072,Suma,573,0.17452007,0.0,0.0,0.0,65.36211,Muy bajo,2456.0
